d[6,64] = 2; PATH: 6-18-64
d[6,65] = 2; PATH: 6-18-65
d[6,66] = 3; PATH: 6-66
d[6,67] = 2; PATH: 6-88-67
d[6,68] = 2; PATH: 6-18-68
d[6,69] = 3; PATH: 6-18-4-69
d[6,70] = 2; PATH: 6-85-70
d[6,71] = 3; PATH: 6-18-68-71
d[6,72] = 2; PATH: 6-88-72
d[6,73] = 2; PATH: 6-26-73
d[6,74] = 2; PATH: 6-80-74
d[6,75] = 2; PATH: 6-75
d[6,76] = 2; PATH: 6-18-76
d[6,77] = 2; PATH: 6-26-77
d[6,78] = 3; PATH: 6-62-58-78
d[6,79] = 2; PATH: 6-88-79
d[6,80] = 1; PATH: 6-80
d[6,81] = 2; PATH: 6-85-81
d[6,82] = 3; PATH: 6-80-40-82
d[6,83] = 2; PATH: 6-88-83
d[6,84] = 2; PATH: 6-26-84
d[6,85] = 1; PATH: 6-85
d[6,86] = 3; PATH: 6-16-86
d[6,87] = 2; PATH: 6-88-87
d[6,88] = 1; PATH: 6-88
d[6,89] = 2; PATH: 6-89
d[6,90] = 3; PATH: 6-55-90
d[6,91] = 2; PATH: 6-91
d[6,92] = 3; PATH: 6-55-92
d[6,93] = 2; PATH: 6-85-93
d[6,94] = 2; PATH: 6-18-94
d[6,95] = 2; PATH: 6-85-95
d[6,96] = 2; PATH: 6-96
d[6,97] = 2; PATH: 6-85-97
d[6,98] = 3; PATH: 6-26-77-98
d[6,99] = 2; PATH: 6-99
d[6,100] = 2; PATH: 6-41-100
d[7,1] = 2; PATH: 7-64-1
d[7,2] = 2; PATH: 7-81-2
d[7,3] = 2; PATH: 7-56-3
d[7,4] = 2; PATH: 7-33-4
d[7,5] = 2; PATH: 7-64-5
d[7,6] = 2; PATH: 7-15-6
d[7,8] = 3; PATH: 7-30-8
d[7,9] = 2; PATH: 7-92-9
d[7,10] = 2; PATH: 7-64-10
d[7,11] = 3; PATH: 7-11
d[7,12] = 3; PATH: 7-38-41-12
d[7,13] = 2; PATH: 7-81-13
d[7,14] = 2; PATH: 7-33-14
d[7,15] = 1; PATH: 7-15
d[7,16] = 3; PATH: 7-33-16
d[7,17] = 3; PATH: 7-17
d[7,18] = 2; PATH: 7-18
d[7,19] = 2; PATH: 7-38-19
d[7,20] = 2; PATH: 7-81-20
d[7,21] = 2; PATH: 7-30-21
d[7,22] = 2; PATH: 7-74-22
d[7,23] = 3; PATH: 7-42-23
d[7,24] = 3; PATH: 7-74-36-24
d[7,25] = 2; PATH: 7-25
d[7,26] = 2; PATH: 7-81-26
d[7,27] = 2; PATH: 7-33-27
d[7,28] = 2; PATH: 7-38-28
d[7,29] = 3; PATH: 7-33-27-29
d[7,30] = 1; PATH: 7-30
d[7,31] = 2; PATH: 7-56-31
d[7,32] = 3; PATH: 7-38-41-32
d[7,33] = 1; PATH: 7-33
d[7,34] = 3; PATH: 7-45-34
d[7,35] = 2; PATH: 7-38-35
d[7,36] = 2; PATH: 7-74-36
d[7,37] = 2; PATH: 7-87-37
d[7,38] = 1; PATH: 7-38
d[7,39] = 2; PATH: 7-45-39
d[7,40] = 2; PATH: 7-85-40
d[7,41] = 2; PATH: 7-38-41
d[7,42] = 2; PATH: 7-42
d[7,43] = 2; PATH: 7-43
d[7,44] = 2; PATH: 7-74-44
d[7,45] = 1; PATH: 7-45
d[7,46] = 3; PATH: 7-81-2-46
d[7,47] = 3; PATH: 7-33-47
d[7,48] = 2; PATH: 7-38-48
d[7,49] = 3; PATH: 7-15-49
d[7,50] = 3; PATH: 7-30-50
d[7,51] = 3; PATH: 7-18-51
d[7,52] = 2; PATH: 7-87-52
d[7,53] = 2; PATH: 7-33-53
d[7,54] = 3; PATH: 7-38-54
d[7,55] = 2; PATH: 7-38-55
d[7,56] = 1; PATH: 7-56
d[7,57] = 2; PATH: 7-78-57
d[7,58] = 2; PATH: 7-38-58
d[7,59] = 2; PATH: 7-81-59
d[7,60] = 2; PATH: 7-64-60
d[7,61] = 2; PATH: 7-61
d[7,62] = 2; PATH: 7-33-62
d[7,63] = 2; PATH: 7-79-63
d[7,64] = 1; PATH: 7-64
d[7,65] = 3; PATH: 7-65
d[7,66] = 3; PATH: 7-30-66
d[7,67] = 2; PATH: 7-45-67
d[7,68] = 2; PATH: 7-15-68
d[7,69] = 2; PATH: 7-78-69
d[7,70] = 2; PATH: 7-78-70
d[7,71] = 3; PATH: 7-25-71
